Date,Open,High,Low,Close,Adj Close,Volume,P/N,Daily_Change,Daily_%_Change,Future_Change,compound,neg,neu,pos
01/02/2018,295.75,296.98999,295.399994,296.839996,284.56948900000003,2978900,Positive,,,0.9599919999999997,0.5674,0.08015384615384616,0.7096923076923077,0.21023076923076928
01/03/2018,295.940002,298.5,295.47000099999997,297.799988,285.489807,3211200,Positive,0.9599919999999997,0.3234038582859977,-1.1299750000000017,0.11394999999999998,0.09475,0.7827500000000001,0.1225
01/04/2018,297.940002,298.420013,295.47000099999997,296.670013,284.40655499999997,4171700,Negative ,-1.1299750000000017,-0.37944091522260637,12.169983000000002,-0.029990000000000013,0.1133,0.7792999999999999,0.1073
01/05/2018,296.769989,308.890015,296.72000099999997,308.839996,296.073425,6177700,Positive,12.169983000000002,4.102195188834279,1.3099980000000073,-0.08368333333333333,0.07283333333333335,0.8516666666666667,0.07583333333333335
01/08/2018,308.660004,310.859985,305.75,310.149994,297.329315,4124900,Positive,1.3099980000000073,0.4241672118141082,8.279999000000032,0.16905714285714285,0.06214285714285715,0.8390000000000001,0.099
01/09/2018,310.589996,319.910004,310.48999,318.429993,305.266998,5641300,Positive,8.279999000000032,2.6696756924651233,1.830016999999998,0.7345,0.037000000000000005,0.7163999999999999,0.2466
01/10/2018,317.48999,322.149994,315.5,320.26001,307.021362,4479300,Positive,1.830016999999998,0.5746999466849756,7.859984999999995,0.365,0.06480000000000001,0.7333999999999999,0.2018
01/11/2018,322.130005,328.399994,321.190002,328.119995,314.556458,4635300,Positive,7.859984999999995,2.454251156739806,8.089995999999985,0.046187500000000006,0.14,0.7356249999999999,0.124375
01/12/2018,330.380005,336.880005,330.380005,336.209991,322.31201200000004,6559300,Positive,8.089995999999985,2.4655601984877373,-1.0499869999999873,0.27668571428571426,0.09242857142857143,0.7466428571428573,0.16092857142857145
01/16/2018,339.899994,347.730011,331.329987,335.160004,321.305481,12305500,Negative ,-1.0499869999999873,-0.31230095122306567,15.850006000000008,0.09002941176470586,0.10776470588235294,0.7451176470588237,0.14711764705882355
01/17/2018,337.730011,352.230011,336.410004,351.01001,336.500275,9699900,Positive,15.850006000000008,4.729086350052669,-10.850006000000008,0.6175200000000001,0.0374,0.7276,0.235
01/18/2018,350.700012,350.829987,339.149994,340.160004,326.098785,9458600,Negative ,-10.850006000000008,-3.091081647500593,-2.4299930000000245,0.3149166666666667,0.08600000000000001,0.7270833333333333,0.18683333333333327
01/19/2018,341.670013,344.0,335.75,337.730011,323.769226,7264400,Negative ,-2.4299930000000245,-0.714367642117042,0.2699890000000096,0.07259999999999996,0.09216666666666667,0.7668333333333334,0.14083333333333334
01/22/2018,335.290009,341.380005,332.040009,338.0,324.028107,6792900,Positive,0.2699890000000096,0.07994225896614804,-2.410004000000015,0.1678,0.08375,0.78825,0.12825
01/23/2018,338.339996,338.940002,334.809998,335.589996,321.717712,4537800,Negative ,-2.410004000000015,-0.713018934911247,-0.8999939999999924,0.8033666666666667,0.05883333333333333,0.6809999999999999,0.26033333333333336
01/24/2018,336.200012,338.98999,334.140015,334.690002,320.854889,4205400,Negative ,-0.8999939999999924,-0.2681826069690141,8.419983000000002,0.257,0.0996,0.7106,0.1898
01/25/2018,336.209991,343.619995,335.299988,343.109985,328.926788,4747500,Positive,8.419983000000002,2.515755758966476,0.11001599999997325,0.58095,0.018000000000000002,0.78125,0.20075
01/26/2018,344.329987,345.980011,341.25,343.22000099999997,329.032288,5236300,Negative ,0.11001599999997325,0.032064353941785306,-2.3999939999999924,0.4862142857142857,0.025714285714285717,0.7047142857142857,0.2695714285714286
01/29/2018,341.230011,344.480011,340.100006,340.820007,326.731506,3324900,Negative ,-2.3999939999999924,-0.6992581996991487,-3.1100159999999732,0.5994,0.0,0.672,0.32799999999999996
01/31/2018,360.5,360.97000099999997,351.619995,354.369995,339.721344,11409600,Negative ,16.660004000000015,4.933228048914917,2.5700069999999755,0.29600000000000004,0.0,0.645,0.355
02/01/2018,352.950012,361.450012,352.040009,356.940002,342.18515,6067600,Positive,2.5700069999999755,0.7252326766548078,-8.029997999999978,0.3320666666666667,0.08733333333333332,0.7726666666666667,0.14033333333333334
02/02/2018,354.0,355.200012,348.700012,348.910004,334.487061,5486100,Negative ,-8.029997999999978,-2.249677244076431,-20.029999000000032,0.5058333333333334,0.08166666666666668,0.7426666666666667,0.1755
02/05/2018,342.670013,350.0,317.390015,328.880005,315.285065,10511300,Negative ,-20.029999000000032,-5.740735080786052,12.029999000000032,0.07331428571428575,0.11271428571428573,0.6768571428571428,0.2104285714285714
02/06/2018,320.0,341.670013,317.649994,340.910004,326.81777999999997,11935100,Positive,12.029999000000032,3.657868771924888,7.209991000000002,-0.10622,0.1356,0.7442,0.1204
02/07/2018,340.519989,353.589996,339.869995,348.119995,333.729767,7946700,Positive,7.209991000000002,2.1149250287181287,-18.459991000000002,0.7698571428571429,0.016,0.6638571428571429,0.3201428571428571
02/08/2018,348.0,349.0,329.399994,329.660004,317.592834,8295900,Negative ,-18.459991000000002,-5.3027666509072535,3.169983000000002,0.61546,0.0,0.8122,0.1878
02/09/2018,333.549988,337.809998,319.25,332.829987,320.64682,8833000,Negative ,3.169983000000002,0.9615916282037063,10.970000999999968,0.08127499999999999,0.0855,0.8109999999999999,0.1035
02/12/2018,336.570007,347.75,335.130005,343.799988,331.21524,6885000,Positive,10.970000999999968,3.2959773543481674,-0.6399839999999699,0.2911666666666667,0.11933333333333332,0.695,0.18566666666666667
02/13/2018,340.450012,347.880005,340.290009,343.160004,330.598724,4030200,Positive,-0.6399839999999699,-0.18615009375740899,1.6900019999999927,0.28315,0.053,0.812,0.135
