Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,43.400002,43.400002,43.000000,43.400002,42.144642,420
2018-01-03,43.799999,43.799999,43.400002,43.400002,42.144642,125
2018-01-04,43.400002,43.799999,43.400002,43.400002,42.144642,72
2018-01-05,43.400002,44.000000,43.400002,43.599998,42.338856,60
2018-01-08,43.799999,43.799999,43.599998,43.599998,42.338856,0
2018-01-09,43.400002,44.200001,43.400002,44.200001,42.921505,0
2018-01-10,43.400002,44.799999,43.200001,44.799999,43.504154,228
2018-01-11,45.000000,46.000000,45.000000,45.200001,43.892582,500
2018-01-12,46.799999,47.799999,46.599998,47.799999,46.417374,1875
2018-01-15,48.200001,48.200001,47.400002,47.400002,46.028946,171
2018-01-16,47.599998,48.000000,47.400002,47.400002,46.028946,461
2018-01-17,47.599998,47.599998,47.200001,47.200001,45.834728,50
2018-01-18,47.400002,47.400002,47.400002,47.400002,46.028946,0
2018-01-19,47.400002,47.599998,47.400002,47.599998,46.223160,58
2018-01-22,47.200001,47.200001,47.200001,47.200001,45.834728,0
2018-01-23,47.200001,47.599998,47.200001,47.599998,46.223160,50
2018-01-24,45.000000,45.200001,43.400002,43.799999,42.533077,229
2018-01-25,44.000000,44.400002,42.000000,43.000000,41.756210,1807
2018-01-26,42.400002,42.799999,42.400002,42.400002,41.173569,600
2018-01-29,42.599998,42.799999,42.599998,42.799999,41.562000,320
2018-01-30,42.389999,42.660000,42.139999,42.660000,41.426044,120
2018-01-31,42.000000,43.389999,41.939999,43.389999,42.134933,675
2018-02-01,43.560001,43.560001,43.450001,43.450001,42.193195,0
2018-02-02,43.360001,43.360001,42.790001,43.169998,41.921291,116
2018-02-05,41.509998,41.799999,41.509998,41.799999,40.685173,0
2018-02-06,39.340000,39.980000,39.090000,39.980000,38.913708,72
2018-02-07,41.029999,42.169998,41.029999,42.099998,40.977173,0
2018-02-08,41.540001,42.240002,40.360001,40.360001,39.283577,112
2018-02-09,39.590000,40.000000,39.110001,39.110001,38.066906,109
2018-02-12,39.250000,39.990002,39.250000,39.990002,38.923447,0
2018-02-13,40.320000,40.560001,40.320000,40.560001,39.478241,0
2018-02-14,41.500000,41.639999,40.950001,41.639999,40.529438,770
2018-02-15,40.779999,40.959999,40.779999,40.959999,39.867573,0
2018-02-16,41.029999,41.770000,41.029999,41.770000,40.655968,0
2018-02-19,41.820000,41.820000,41.299999,41.299999,40.198509,625
2018-02-20,41.349998,41.919998,41.310001,41.919998,40.801964,120
2018-02-21,41.709999,42.689999,41.709999,42.689999,41.551434,0
2018-02-22,42.610001,43.099998,42.590000,42.950001,41.804501,339
2018-02-23,42.930000,43.419998,42.930000,43.419998,42.261959,0
2018-02-26,43.160000,44.340000,43.160000,44.340000,43.157425,0
2018-02-27,44.320000,44.320000,44.270000,44.270000,43.089291,18
2018-02-28,44.090000,44.470001,44.080002,44.470001,43.283958,0
2018-03-01,44.150002,44.910000,44.150002,44.910000,43.712223,0
2018-03-02,43.299999,43.299999,42.490002,42.490002,41.356766,23
2018-03-05,42.900002,42.950001,42.900002,42.950001,41.804501,0
2018-03-06,42.790001,42.790001,42.790001,42.790001,41.648762,0
2018-03-07,41.770000,43.279999,41.770000,43.279999,42.125698,0
2018-03-08,43.320000,44.180000,43.320000,44.180000,43.001686,0
2018-03-09,44.230000,44.779999,44.230000,44.779999,43.585686,0
2018-03-12,45.259998,45.680000,45.169998,45.169998,43.965286,47
2018-03-13,45.599998,45.830002,45.599998,45.830002,44.607689,350
2018-03-14,45.180000,45.900002,45.180000,45.900002,44.675816,100
2018-03-15,44.459999,44.799999,44.459999,44.799999,43.605152,0
2018-03-16,44.509998,45.700001,44.490002,45.389999,44.179420,367
2018-03-19,44.900002,45.040001,44.900002,44.950001,43.751152,0
2018-03-20,44.060001,44.580002,44.060001,44.580002,43.391029,0
2018-03-21,44.240002,44.240002,43.790001,43.790001,42.622089,0
2018-03-22,43.299999,43.529999,43.299999,43.529999,42.369030,0
2018-03-23,42.189999,42.520000,41.939999,42.250000,41.123169,1005
2018-03-26,41.169998,41.349998,41.169998,41.349998,40.247173,0
2018-03-27,41.580002,42.180000,41.580002,41.939999,40.821434,302
2018-03-28,40.840000,41.299999,40.840000,40.860001,39.770237,200
2018-03-29,41.009998,41.080002,41.009998,41.080002,39.984371,47
2018-04-03,40.160000,41.040001,40.160000,41.040001,39.945442,0
2018-04-04,41.299999,41.310001,41.299999,41.310001,40.208237,130
2018-04-05,42.130001,43.000000,42.130001,43.000000,41.853161,170
2018-04-06,41.970001,42.160000,41.970001,42.160000,41.035568,0
2018-04-09,41.180000,41.180000,40.900002,40.900002,39.809170,0
2018-04-10,40.860001,40.860001,38.500000,38.500000,37.473183,50
2018-04-11,38.040001,38.070000,37.990002,37.990002,36.976784,200
2018-04-12,36.560001,37.720001,36.560001,37.720001,36.713985,630
2018-04-13,37.570000,37.570000,37.549999,37.549999,36.548519,119
2018-04-16,37.480000,37.480000,37.110001,37.110001,36.120251,32
2018-04-17,37.490002,37.619999,37.490002,37.619999,36.616653,0
2018-04-18,37.119999,37.410000,37.119999,37.410000,36.412254,0
2018-04-19,38.450001,38.560001,38.200001,38.560001,37.531578,150
2018-04-20,38.209999,38.209999,37.750000,37.750000,36.743183,160
2018-04-23,37.959999,38.259998,37.959999,38.259998,37.239574,0
2018-04-24,38.110001,38.209999,37.990002,38.209999,37.190918,371
2018-04-25,37.240002,37.240002,37.040001,37.040001,36.052120,0
2018-04-26,36.990002,36.990002,34.099998,35.099998,34.163860,0
2018-04-27,34.849998,34.880001,34.849998,34.880001,33.949726,3
2018-04-30,35.680000,36.090000,35.680000,36.090000,35.127460,500
2018-05-02,35.939999,36.040001,35.939999,36.040001,35.078789,0
2018-05-03,34.959999,35.250000,34.959999,35.250000,34.309860,0
2018-05-04,34.970001,34.980000,34.970001,34.980000,34.047058,0
2018-05-07,35.799999,35.840000,35.799999,35.840000,34.984135,0
2018-05-08,34.910000,36.730000,34.910000,36.250000,35.384346,238
2018-05-09,36.130001,36.130001,36.040001,36.040001,35.179359,0
2018-05-10,34.930000,35.049999,34.930000,35.049999,34.212997,0
2018-05-11,35.099998,35.119999,35.020000,35.119999,34.281334,64
2018-05-14,35.580002,35.709999,35.509998,35.709999,34.857239,0
2018-05-15,35.830002,35.830002,35.310001,35.310001,34.466793,25
2018-05-16,36.279999,36.770000,36.279999,36.500000,35.628372,684
2018-05-17,37.119999,37.689999,37.119999,37.340000,36.448318,15
2018-05-18,36.770000,36.939999,36.770000,36.939999,36.057865,30
2018-05-21,null,null,null,null,null,null
2018-05-22,37.389999,37.439999,37.139999,37.139999,36.253090,30
2018-05-23,36.270000,36.310001,36.270000,36.310001,35.442909,0
2018-05-24,36.270000,36.639999,36.270000,36.639999,35.765034,0
2018-05-25,37.070000,37.700001,37.070000,37.700001,36.799721,500
2018-05-28,38.099998,38.529999,38.099998,38.529999,37.609894,0
2018-05-29,38.840000,38.840000,38.209999,38.270000,37.356106,465
2018-05-30,37.939999,37.939999,36.959999,36.959999,36.077389,326
2018-05-31,36.810001,37.110001,36.810001,37.110001,36.223804,0
2018-06-01,37.220001,37.439999,37.220001,37.439999,36.545929,0
2018-06-04,37.419998,38.040001,37.419998,37.990002,37.082794,250
2018-06-05,38.160000,38.160000,37.860001,37.860001,36.955902,0
2018-06-06,37.590000,37.590000,36.709999,36.709999,35.833355,0
2018-06-07,37.230000,37.549999,37.230000,37.549999,36.653301,0
2018-06-08,37.000000,37.470001,36.770000,36.770000,35.891926,86
2018-06-11,36.340000,37.490002,36.290001,37.490002,36.594734,746
2018-06-12,37.330002,37.330002,37.330002,37.330002,36.438553,0
2018-06-13,36.759998,36.759998,36.570000,36.570000,35.696705,0
2018-06-14,36.139999,37.009998,36.110001,37.009998,36.126194,580
2018-06-15,37.040001,37.040001,36.410000,36.410000,35.540524,0
2018-06-18,36.720001,36.720001,36.200001,36.200001,35.335537,0
2018-06-19,36.200001,36.200001,35.639999,35.639999,34.788910,0
2018-06-20,35.700001,35.950001,35.700001,35.799999,34.945095,0
2018-06-21,36.160000,36.160000,36.160000,36.160000,35.296490,0
2018-06-22,35.369999,36.029999,35.369999,36.029999,35.169601,0
2018-06-25,35.349998,35.349998,34.000000,34.000000,33.188076,883
2018-06-26,34.060001,34.090000,33.799999,33.799999,32.992847,220
2018-06-27,33.320000,33.500000,33.320000,33.320000,32.524315,100
2018-06-28,32.930000,32.930000,32.220001,32.220001,31.450584,415
2018-06-29,32.910000,32.980000,32.830002,32.980000,32.192432,0
2018-07-02,32.290001,32.610001,32.290001,32.610001,31.831268,0
2018-07-03,32.799999,32.799999,32.130001,32.130001,31.362736,0
2018-07-04,32.150002,32.360001,32.150002,32.360001,31.587236,113
2018-07-05,32.070000,32.450001,32.070000,32.200001,31.431057,70
2018-07-06,32.360001,32.360001,32.310001,32.310001,31.538431,0
2018-07-09,32.380001,32.430000,32.380001,32.430000,31.655569,0
2018-07-10,33.320000,33.720001,33.320000,33.360001,32.563362,300
2018-07-11,32.700001,33.070000,30.990000,30.990000,30.249956,310
2018-07-12,30.790001,30.980000,30.500000,30.500000,29.771654,475
2018-07-13,30.980000,31.219999,30.980000,31.219999,30.474463,0
2018-07-16,31.580000,31.940001,31.580000,31.940001,31.177267,180
2018-07-17,31.610001,32.529999,31.610001,32.529999,31.753181,320
2018-07-18,32.349998,33.500000,32.349998,33.220001,32.426701,540
2018-07-19,32.810001,32.840000,32.810001,32.840000,32.055779,0
2018-07-20,32.520000,32.560001,32.520000,32.560001,31.782465,29
2018-07-23,32.240002,32.240002,31.959999,31.959999,31.196791,5
2018-07-24,32.459999,32.790001,32.459999,32.490002,31.714138,330
2018-07-25,31.840000,32.009998,31.840000,32.009998,31.245596,0
2018-07-26,32.380001,33.580002,32.380001,33.580002,32.778103,0
2018-07-27,34.169998,35.000000,34.160000,35.000000,34.164200,160
2018-07-30,33.849998,34.209999,33.849998,34.209999,33.393059,0
2018-07-31,33.160000,33.889999,33.119999,33.889999,33.080704,520
2018-08-01,33.650002,33.660000,33.650002,33.660000,32.856194,0
2018-08-02,32.590000,32.590000,32.259998,32.259998,31.489626,0
2018-08-03,32.459999,33.150002,32.459999,33.150002,32.358376,376
2018-08-06,33.070000,33.070000,32.900002,32.900002,32.211517,198
2018-08-07,33.040001,33.270000,33.040001,33.270000,32.573772,0
2018-08-08,32.750000,33.279999,32.750000,33.279999,32.583561,0
2018-08-09,32.900002,33.230000,32.900002,33.230000,32.534607,0
2018-08-10,32.759998,32.759998,32.410000,32.410000,31.731768,0
2018-08-13,32.400002,32.480000,32.250000,32.250000,31.575115,45
2018-08-14,32.009998,32.560001,32.009998,32.560001,31.878628,43
2018-08-15,32.509998,32.860001,32.439999,32.439999,31.761139,300
