Date,Open,High,Low,Close,Adj Close,Volume,P/N
10/26/2018,105.690002,108.75,104.760002,106.959999,104.948143,55523100,Positive
10/29/2018,108.110001,108.699997,101.629997,103.849998,101.896637,55162000,Negative
10/30/2018,103.660004,104.379997,100.110001,103.730003,101.7789,65350900,Positive
10/31/2018,105.440002,108.139999,105.389999,106.809998,104.800964,51062400,Positive
11/1/2018,107.050003,107.32,105.529999,105.919998,103.927696,33384200,Negative
11/2/2018,106.480003,107.32,104.980003,106.160004,104.163193,37680200,Negative
11/5/2018,106.370003,107.739998,105.900002,107.510002,105.487793,27922100,Positive
11/6/2018,107.379997,108.839996,106.279999,107.720001,105.693848,24340200,Positive
11/7/2018,109.440002,112.239998,109.400002,111.959999,109.854095,37901700,Positive
11/8/2018,111.800003,112.209999,110.910004,111.75,109.648048,25644100,Negative
11/9/2018,110.849998,111.449997,108.760002,109.57,107.509056,32039200,Negative
11/12/2018,109.419998,109.959999,106.099998,106.870003,104.85984,33621800,Negative
11/13/2018,107.550003,108.739998,106.639999,106.940002,104.928528,35374600,Negative
11/14/2018,108.099998,108.260002,104.470001,104.970001,103.440529,39495100,Negative
11/15/2018,104.989998,107.800003,103.910004,107.279999,105.716866,38505200,Positive
11/16/2018,107.080002,108.879997,106.800003,108.290001,106.712151,33502100,Positive
11/19/2018,108.269997,108.559998,103.550003,104.620003,103.095619,44773900,Negative
11/20/2018,101.800003,102.970001,99.349998,101.709999,100.228027,64052500,Negative
11/21/2018,103.599998,104.43,102.239998,103.110001,101.60762,28130600,Negative
11/23/2018,102.169998,103.809998,102,103.07,101.568207,13823100,Positive
11/26/2018,104.790001,106.629997,104.580002,106.470001,104.918671,32336200,Positive
11/27/2018,106.269997,107.330002,105.360001,107.139999,105.578896,29124500,Positive
11/28/2018,107.889999,111.330002,107.860001,111.120003,109.500916,46788500,Positive
11/29/2018,110.330002,111.120003,109.029999,110.190002,108.584465,28123200,Negative
11/30/2018,110.699997,110.970001,109.360001,110.889999,109.274261,33665600,Positive
12/3/2018,113,113.419998,110.730003,112.089996,110.456779,34732800,Negative
12/4/2018,111.940002,112.639999,108.209999,108.519997,106.938789,45197000,Negative
12/6/2018,105.82,109.239998,105,109.190002,107.599037,49107400,Positive
12/7/2018,108.379997,109.449997,104.300003,104.82,103.292702,45044900,Negative
12/10/2018,104.800003,107.980003,103.889999,107.589996,106.022339,40801500,Positive
12/11/2018,109.800003,110.949997,107.440002,108.589996,107.007774,42381900,Negative
12/12/2018,110.889999,111.269997,109.040001,109.080002,107.490639,36183000,Negative
12/13/2018,109.580002,110.870003,108.629997,109.449997,107.85524,31333400,Negative
12/14/2018,108.25,109.260002,105.5,106.029999,104.485077,47043100,Negative
12/17/2018,105.410004,105.800003,101.709999,102.889999,101.390823,56957300,Negative
12/18/2018,103.75,104.510002,102.519997,103.970001,102.455093,49319200,Positive
12/19/2018,103.650002,106.879997,101.349998,103.690002,102.179176,68198200,Positive
12/20/2018,103.050003,104.309998,98.779999,101.510002,100.030937,70334200,Negative
12/21/2018,101.629997,103,97.459999,98.230003,96.798729,111242100,Negative
12/24/2018,97.68,97.970001,93.980003,94.129997,92.758461,43935200,Negative
12/26/2018,95.139999,100.690002,93.959999,100.559998,99.094772,51634800,Positive
12/27/2018,99.300003,101.190002,96.400002,101.18,99.705742,49498500,Positive
12/28/2018,102.089996,102.410004,99.519997,100.389999,98.927246,38196300,Negative
12/31/2018,101.290001,102.400002,100.440002,101.57,100.090057,33173800,Positive
1/2/2019,99.550003,101.75,98.940002,101.120003,99.646614,35329300,Positive
1/3/2019,100.099998,100.190002,97.199997,97.400002,95.98082,42579100,Negative
1/4/2019,99.720001,102.510002,98.93,101.93,100.444817,44060600,Positive
1/7/2019,101.639999,103.269997,100.980003,102.059998,100.572922,35656100,Positive
1/8/2019,103.040001,103.970001,101.709999,102.800003,101.302139,31514400,Negative
1/9/2019,103.860001,104.879997,103.239998,104.269997,102.750717,32280800,Positive
1/10/2019,103.220001,103.75,102.379997,103.599998,102.090485,30067600,Positive
1/11/2019,103.190002,103.440002,101.639999,102.800003,101.302139,28314200,Negative
1/14/2019,101.900002,102.870003,101.260002,102.050003,100.563072,28437100,Positive
1/15/2019,102.510002,105.050003,101.879997,105.010002,103.47995,31587600,Positive
1/16/2019,105.260002,106.260002,104.959999,105.379997,103.844551,29853900,Positive
1/17/2019,105,106.629997,104.760002,106.120003,104.573769,28393000,Positive
1/18/2019,107.459999,107.900002,105.910004,107.709999,106.140602,37427600,Positive
1/22/2019,106.75,107.099998,104.860001,105.68,104.140175,32371300,Negative
1/23/2019,106.120003,107.040001,105.339996,106.709999,105.155167,25874300,Positive
1/24/2019,106.860001,107,105.339996,106.199997,104.652603,23164800,Negative
1/25/2019,107.239998,107.879997,106.199997,107.169998,105.608467,31225600,Negative
1/28/2019,106.260002,106.480003,104.660004,105.080002,103.548927,29476700,Negative
1/29/2019,104.879997,104.970001,102.169998,102.940002,101.440102,31490500,Negative
1/30/2019,104.620003,106.379997,104.330002,106.379997,104.829979,49471900,Positive
1/31/2019,103.800003,105.220001,103.18,104.43,102.908394,55636400,Positive
2/1/2019,103.779999,104.099998,102.349998,102.779999,101.282433,35535700,Negative
2/4/2019,102.870003,105.800003,102.769997,105.739998,104.199295,31315100,Positive
2/5/2019,106.059998,107.269997,105.959999,107.220001,105.657745,27325400,Positive
2/6/2019,107,107,105.529999,106.029999,104.485077,20609800,Negative
2/7/2019,105.190002,105.589996,104.290001,105.269997,103.736145,29760700,Positive
2/8/2019,104.389999,105.779999,104.260002,105.669998,104.130325,21461100,Positive
2/11/2019,106.199997,106.580002,104.970001,105.25,103.716446,18914100,Negative
2/12/2019,106.139999,107.139999,105.480003,106.889999,105.33255,25056600,Positive
2/13/2019,107.5,107.779999,106.709999,106.809998,105.253716,18394900,Negative
2/14/2019,106.309998,107.290001,105.660004,106.900002,105.342407,21784700,Positive
2/15/2019,107.910004,108.300003,107.360001,108.220001,106.643166,26606900,Positive
2/19/2019,107.790001,108.660004,107.779999,108.169998,106.593895,18038500,Positive
2/20/2019,107.860001,107.940002,106.290001,107.150002,106.039703,21607700,Negative
2/21/2019,106.900002,109.480003,106.870003,109.410004,108.276283,29063200,Positive
2/22/2019,110.050003,111.199997,109.82,110.970001,109.820114,27763200,Positive
2/25/2019,111.760002,112.18,111.260002,111.589996,110.433685,23750600,Negative
2/26/2019,111.260002,113.239998,111.169998,112.360001,111.195709,21536700,Positive
2/27/2019,111.690002,112.360001,110.879997,112.169998,111.007675,21487100,Positive
2/28/2019,112.040001,112.879997,111.730003,112.029999,110.869133,29083900,Negative
3/1/2019,112.889999,113.019997,111.669998,112.529999,111.363945,23501200,Negative
3/4/2019,113.019997,113.25,110.800003,112.260002,111.096748,26608000,Negative
3/5/2019,112.25,112.389999,111.230003,111.699997,110.542549,19538300,Negative
3/6/2019,111.870003,112.660004,111.43,111.75,110.592033,17687000,Negative
3/7/2019,111.400002,111.550003,109.870003,110.389999,109.246124,25339000,Negative
3/8/2019,109.160004,110.709999,108.800003,110.510002,109.364876,22818400,Positive
3/11/2019,110.989998,112.949997,110.980003,112.830002,111.660843,26491600,Positive
3/12/2019,112.82,113.989998,112.650002,113.620003,112.442657,26132700,Positive
3/13/2019,114.129997,115,113.779999,114.5,113.313545,35513800,Positive
3/14/2019,114.540001,115.199997,114.330002,114.589996,113.402603,30763400,Positive
3/15/2019,115.339996,117.25,114.589996,115.910004,114.708931,54681100,Positive
3/18/2019,116.169998,117.610001,116.050003,117.57,116.351723,31207600,Positive
3/19/2019,118.089996,118.440002,116.989998,117.650002,116.430893,37588700,Negative
3/20/2019,117.389999,118.75,116.709999,117.519997,116.302231,28113300,Positive
3/21/2019,117.139999,120.82,117.089996,120.220001,118.974266,29854400,Positive
