Date,Open,High,Low,Close,Adj Close,Volume,P/N,Daily_Change,Daily_%_Change,Future_Change
3/20/2018,331.839996,339.700012,331,337.630005,325.271118,6500500,Positive,5.869995,1.769349778,-0.529999
3/21/2018,337.070007,341.910004,335.170013,337.100006,324.760529,4056300,Negative ,-0.529999,-0.156976273,-17.490021
3/22/2018,330.109985,332.679993,319.01001,319.609985,307.910706,7282200,Negative ,-17.490021,-5.18837754,1.390015
3/23/2018,320.149994,331.140015,318.320007,321,309.249878,7237500,Negative ,1.390015,0.434909754,7.970001
3/26/2018,330.480011,331.940002,323.589996,328.970001,316.928101,5392900,Positive,7.970001,2.482866355,-7.850006
3/27/2018,331.51001,334.880005,319,321.119995,309.365448,5355500,Negative ,-7.850006,-2.386237644,-1.100006
3/28/2018,321.850006,323.23999,311.170013,320.019989,308.305756,5634700,Negative ,-1.100006,-0.342552945,7.860016
3/29/2018,323.380005,330.480011,322,327.880005,315.878052,3652100,Positive,7.860016,2.456101578,-5.440003
4/2/2018,325.200012,329.940002,317.170013,322.440002,310.637177,5024900,Negative ,-5.440003,-1.659144479,8.380005
4/3/2018,324.76001,331.100006,323.089996,330.820007,318.710419,4783100,Positive,8.380005,2.598934669,-3.380005
4/4/2018,312.299988,327.809998,311.880005,327.440002,315.454132,8235700,Positive,-3.380005,-1.021705135,8.959992
4/5/2018,330.589996,338.959991,330.26001,336.399994,324.086121,6220000,Positive,8.959992,2.736376724,-10.279999
4/6/2018,330.609985,334.589996,322.209991,326.119995,314.182434,5713600,Negative ,-10.279999,-3.055885607,-3.639984
4/9/2018,332.25,334.880005,322.049988,322.480011,310.67569,4931700,Negative ,-3.639984,-1.116148674,12.349976
4/10/2018,331.350006,336.690002,329.549988,334.829987,322.573578,5552000,Positive,12.349976,3.829687292,-7.470002
4/11/2018,331.600006,337.570007,326.309998,327.359985,315.377014,4573500,Negative ,-7.470002,-2.230983571,10.120026
4/12/2018,331.980011,338.350006,330.459991,337.480011,325.126617,4325000,Positive,10.120026,3.091405933,-8.200012
4/13/2018,338.98999,339.670013,326.600006,329.279999,317.226776,4733500,Negative ,-8.200012,-2.429777093,2.48999
4/16/2018,332.339996,333.220001,327.630005,331.769989,319.62561,3901400,Positive,2.48999,0.756192301,4.950012
4/17/2018,334.730011,339.73999,333.649994,336.720001,324.394409,3381800,Positive,4.950012,1.492001135,4.279999
4/18/2018,338.329987,342.399994,337.179993,341,328.517761,3117500,Negative ,4.279999,1.271085468,-0.359985
4/19/2018,340.190002,342.410004,337.5,340.640015,328.17099,3006800,Negative ,-0.359985,-0.105567449,-1.970002
4/20/2018,340.730011,341.399994,335.049988,338.670013,326.27301,3038000,Negative ,-1.970002,-0.578323718,0.169983
4/23/2018,339.549988,341.26001,336,338.839996,326.436798,2765600,Negative ,0.169983,0.050191335,-9.779998
4/24/2018,343.170013,347.670013,323.279999,329.059998,317.014771,7051800,Negative ,-9.779998,-2.88631747,13.799987
4/25/2018,338.119995,344.910004,330.519989,342.859985,330.309631,11023600,Positive,13.799987,4.19376013,-0.069976
4/26/2018,344.01001,345.649994,338.329987,342.790009,330.242188,5273600,Positive,-0.069976,-0.020409497,-1.910004
4/27/2018,341.25,342.920013,337.769989,340.880005,328.40213,3390400,Negative ,-1.910004,-0.557193602,-7.320007
4/30/2018,341.170013,342.579987,333.399994,333.559998,321.350098,3721600,Negative ,-7.320007,-2.147385265,-4.019989
5/1/2018,332.5,333.910004,324.179993,329.540009,317.477234,4313100,Positive,-4.019989,-1.205177187,-5.350007
5/2/2018,329.5,330.709991,323.980011,324.190002,312.32309,3436100,Negative ,-5.350007,-1.623477227,6.5
5/3/2018,322.970001,332.630005,319.130005,330.690002,318.585175,6383200,Positive,6.5,2.004997057,3.739991
5/4/2018,328.040009,335.890015,328.040009,334.429993,322.188171,3655100,Positive,3.739991,1.130965852,6
5/7/2018,335.230011,342.980011,335.209991,340.429993,327.968597,4192200,Negative ,6,1.794097457,-2.059998
5/8/2018,339.769989,341.940002,336.609985,338.369995,325.984009,4014100,Positive,-2.059998,-0.605116483,6.130005
5/9/2018,339.48999,346.929993,338.579987,344.5,331.889679,4347000,Positive,6.130005,1.811627831,-0.429993
5/10/2018,343.98999,348.570007,342.410004,344.070007,333.128937,3920400,Positive,-0.429993,-0.124816546,-1.610016
