Date,Open,High,Low,Close,Adj Close,Volume,P/N,Daily_Change,Daily_%_Change,Future_Change
1/26/2018,2847.47998,2872.870117,2846.179932,2872.870117,2872.870117,3443230000,Positive,33.620117,1.184119644,-19.340088
1/29/2018,2867.22998,2870.620117,2851.47998,2853.530029,2853.530029,3573830000,Negative ,-19.340088,-0.673197437,-31.100097
1/30/2018,2832.73999,2837.75,2818.27002,2822.429932,2822.429932,3990650000,Negative ,-31.100097,-1.089881539,1.380127
1/31/2018,2832.409912,2839.26001,2813.040039,2823.810059,2823.810059,4261280000,Negative ,1.380127,0.048898539,-1.830079
2/1/2018,2816.449951,2835.959961,2812.699951,2821.97998,2821.97998,3938450000,Positive,-1.830079,-0.064808856,-59.850097
2/2/2018,2808.919922,2808.919922,2759.969971,2762.129883,2762.129883,4301130000,Negative ,-59.850097,-2.120854769,-113.189942
2/5/2018,2741.060059,2763.389893,2638.169922,2648.939941,2648.939941,5283460000,Negative ,-113.189942,-4.097922502,46.199952
2/6/2018,2614.780029,2701.040039,2593.070068,2695.139893,2695.139893,5891660000,Positive,46.199952,1.744092091,-13.479981
2/7/2018,2690.949951,2727.669922,2681.330078,2681.659912,2681.659912,4626570000,Negative ,-13.479981,-0.500158861,-100.659912
2/8/2018,2685.01001,2685.27002,2580.560059,2581,2581,5305440000,Negative ,-100.659912,-3.753641972,38.550049
2/9/2018,2601.780029,2638.669922,2532.689941,2619.550049,2619.550049,5680070000,Positive,38.550049,1.493609028,36.449951
2/12/2018,2636.75,2672.610107,2622.449951,2656,2656,4055790000,Positive,36.449951,1.391458469,6.939941
2/13/2018,2646.27002,2668.840088,2637.080078,2662.939941,2662.939941,3472870000,Positive,6.939941,0.261292959,35.689942
2/14/2018,2651.209961,2702.100098,2648.870117,2698.629883,2698.629883,4003740000,Positive,35.689942,1.340245848,32.570068
2/15/2018,2713.459961,2731.51001,2689.820068,2731.199951,2731.199951,3684910000,Positive,32.570068,1.206911263,1.02002
2/16/2018,2727.139893,2754.419922,2725.110107,2732.219971,2732.219971,3637460000,Positive,1.02002,0.037346954,-15.959961
2/20/2018,2722.98999,2737.600098,2706.76001,2716.26001,2716.26001,3627610000,Negative ,-15.959961,-0.584138948,-14.929932
2/21/2018,2720.530029,2747.75,2701.290039,2701.330078,2701.330078,3779400000,Negative ,-14.929932,-0.549650326,2.629883
2/22/2018,2710.419922,2731.26001,2697.77002,2703.959961,2703.959961,3701270000,Negative ,2.629883,0.097355115,43.340088
2/23/2018,2715.800049,2747.76001,2713.73999,2747.300049,2747.300049,3189190000,Positive,43.340088,1.602837639,32.300049
2/26/2018,2757.370117,2780.639893,2753.780029,2779.600098,2779.600098,3424650000,Positive,32.300049,1.175701541,-35.320069
2/27/2018,2780.449951,2789.149902,2744.219971,2744.280029,2744.280029,3745080000,Negative ,-35.320069,-1.270688867,-30.449951
2/28/2018,2753.780029,2761.52002,2713.540039,2713.830078,2713.830078,4230660000,Negative ,-30.449951,-1.109578858,-36.160156
3/1/2018,2715.219971,2730.889893,2659.649902,2677.669922,2677.669922,4503970000,Negative ,-36.160156,-1.332439945,13.580078
